epoch	avg_loss	train_accuracy	dev_accuracy
0	0.8990	0.4500	0.3600
1	0.4934	0.6500	0.5300
2	0.3945	0.6800	0.5700
3	0.3508	0.6700	0.6300
4	0.3101	0.6300	0.6300
5	0.2688	0.6900	0.6400
6	0.2243	0.7900	0.7200
7	0.2137	0.8400	0.7800
8	0.1671	0.8500	0.7600
9	0.1727	0.9100	0.8100
10	0.1443	0.9300	0.8500
11	0.1229	0.9300	0.8800
12	0.1171	0.9400	0.8600
13	0.0908	0.9300	0.8700
14	0.0863	0.8800	0.8500
15	0.0899	0.8800	0.8200
16	0.0796	0.9300	0.8200
17	0.0701	0.9300	0.8700
18	0.0596	0.9500	0.8500
19	0.0769	0.8900	0.8100
20	0.0546	0.9500	0.8600
21	0.0541	0.9700	0.8900
22	0.0545	0.9600	0.8600
23	0.0474	0.9600	0.8500
24	0.0432	0.9700	0.8600
25	0.0369	0.9700	0.8700
26	0.0305	0.9800	0.8800
27	0.0262	0.9800	0.8500
28	0.0247	0.9700	0.8600
29	0.0187	0.9900	0.8700
30	0.0152	1.0000	0.8500
31	0.0190	0.9800	0.8400
32	0.0115	0.9900	0.8500
33	0.0144	0.9900	0.8600
