epoch	avg_loss	train_accuracy	dev_accuracy
0	0.8659	0.6500	0.5200
1	0.4150	0.6600	0.5400
2	0.3831	0.6900	0.5700
3	0.3600	0.6600	0.6400
4	0.3327	0.7300	0.6300
5	0.3004	0.8200	0.7600
6	0.2412	0.8200	0.7200
7	0.2130	0.8200	0.7300
8	0.1549	0.8800	0.7900
9	0.1687	0.9000	0.8200
10	0.1378	0.9300	0.8300
11	0.1244	0.9100	0.8600
12	0.0995	0.9200	0.8600
13	0.0989	0.9400	0.8500
14	0.0842	0.9200	0.8500
15	0.0720	0.9000	0.8400
16	0.0646	0.9500	0.8800
17	0.0668	0.9600	0.8400
18	0.0631	0.9400	0.8500
19	0.0639	0.9100	0.8600
20	0.0531	0.9700	0.8800
21	0.0478	0.9500	0.8900
22	0.0446	0.9400	0.8700
23	0.0499	0.9100	0.8400
24	0.0420	0.9900	0.8700
25	0.0396	0.9800	0.8500
26	0.0200	0.9600	0.8500
27	0.0176	0.9900	0.8600
28	0.0142	0.9900	0.8700
29	0.0131	0.9900	0.8800
30	0.0204	0.9700	0.8200
31	0.0166	0.9900	0.8900
32	0.0113	0.9900	0.8700
33	0.0095	1.0000	0.8800
