epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9163	0.5500	0.4500
1	0.4534	0.6400	0.5600
2	0.4004	0.6800	0.5400
3	0.3616	0.6700	0.6600
4	0.3135	0.7100	0.6200
5	0.2862	0.7100	0.6500
6	0.2674	0.8100	0.7200
7	0.2156	0.8400	0.7500
8	0.1849	0.8700	0.8000
9	0.1834	0.8800	0.8200
10	0.1391	0.8600	0.8100
11	0.1403	0.9100	0.8300
12	0.0929	0.9300	0.8500
13	0.0914	0.9400	0.8500
14	0.0972	0.9300	0.8600
15	0.0697	0.9000	0.8400
16	0.0736	0.9100	0.8700
17	0.1023	0.9600	0.8500
18	0.0623	0.9500	0.8300
19	0.0627	0.9100	0.8000
20	0.0516	0.9600	0.8700
21	0.0605	0.9500	0.8600
22	0.0455	0.9500	0.8800
23	0.0389	0.9200	0.8500
24	0.0320	0.9800	0.8600
25	0.0318	0.9700	0.8700
26	0.0194	0.9800	0.8600
27	0.0185	0.9600	0.8100
28	0.0186	0.9700	0.8600
29	0.0178	1.0000	0.8500
30	0.0171	1.0000	0.8500
31	0.0147	1.0000	0.8600
32	0.0140	0.9900	0.8700
33	0.0129	1.0000	0.8700
34	0.0112	1.0000	0.8900
35	0.0083	0.9900	0.8800
36	0.0075	0.9900	0.8500
37	0.0051	1.0000	0.8400
38	0.0046	1.0000	0.8800
39	0.0069	1.0000	0.8600
40	0.0046	1.0000	0.8600
41	0.0063	1.0000	0.8600
42	0.0091	1.0000	0.8600
43	0.0093	0.9900	0.8500
44	0.0093	1.0000	0.8600
45	0.0027	1.0000	0.8500
46	0.0077	1.0000	0.8500
