epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9091	0.6300	0.4800
1	0.4186	0.6500	0.5500
2	0.4044	0.6600	0.5400
3	0.3656	0.6600	0.6600
4	0.3018	0.7000	0.6400
5	0.2754	0.7400	0.6700
6	0.2722	0.7800	0.7000
7	0.2330	0.8400	0.7600
8	0.1735	0.8600	0.7600
9	0.1765	0.9100	0.8500
10	0.1478	0.9100	0.8700
11	0.1104	0.9200	0.8800
12	0.1108	0.9100	0.8500
13	0.1253	0.9400	0.8400
14	0.1044	0.9200	0.8400
15	0.1128	0.9300	0.8300
16	0.0818	0.9500	0.8500
17	0.0758	0.9200	0.8500
18	0.0619	0.9600	0.8700
19	0.0674	0.9400	0.8400
20	0.0508	0.9500	0.8800
21	0.0494	0.9700	0.8600
22	0.0512	0.9600	0.8600
23	0.0507	0.9600	0.8300
