epoch	avg_loss	train_accuracy	dev_accuracy
0	0.8910	0.6300	0.5300
1	0.4318	0.6600	0.5400
2	0.3992	0.6900	0.5700
3	0.3725	0.6800	0.6700
4	0.2782	0.6800	0.6700
5	0.2725	0.8200	0.7300
6	0.2305	0.8400	0.7400
7	0.1753	0.8500	0.7700
8	0.1867	0.8500	0.7700
9	0.1474	0.9500	0.8400
10	0.1414	0.9200	0.8500
11	0.1245	0.9300	0.8600
12	0.0999	0.9500	0.8800
13	0.1106	0.9400	0.8600
14	0.0897	0.9500	0.8600
15	0.0803	0.9300	0.8600
16	0.0732	0.9600	0.8900
17	0.0723	0.9500	0.8500
18	0.0694	0.9400	0.8600
19	0.0508	0.9500	0.8300
20	0.0543	0.9800	0.8800
21	0.0500	0.9500	0.9000
22	0.0470	0.9600	0.8800
23	0.0432	0.9600	0.8800
24	0.0324	0.9900	0.8700
25	0.0245	0.9600	0.8800
26	0.0306	0.9700	0.8800
27	0.0191	0.9900	0.8500
28	0.0209	0.9600	0.8700
29	0.0158	1.0000	0.8700
30	0.0170	1.0000	0.8800
31	0.0111	1.0000	0.8500
32	0.0088	0.9900	0.8800
33	0.0122	1.0000	0.8700
