epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9135	0.4500	0.3600
1	0.4565	0.6500	0.5500
2	0.4098	0.6900	0.5400
3	0.3962	0.6700	0.6700
4	0.3307	0.7000	0.6200
5	0.2850	0.7200	0.6600
6	0.2643	0.8400	0.6600
7	0.1976	0.8500	0.7300
8	0.1724	0.8800	0.7900
9	0.1669	0.9300	0.8200
10	0.1259	0.9000	0.8100
11	0.1149	0.9200	0.8500
12	0.1133	0.9400	0.8500
13	0.1028	0.8900	0.8400
14	0.0930	0.9400	0.8500
15	0.0794	0.8900	0.8200
16	0.0765	0.9500	0.8600
17	0.0722	0.9600	0.8600
18	0.0526	0.9600	0.8500
19	0.0519	0.9300	0.8000
20	0.0457	0.9900	0.8500
21	0.0463	0.9700	0.8800
22	0.0422	0.9600	0.8700
23	0.0431	0.9800	0.8800
24	0.0378	0.9600	0.8200
25	0.0300	0.9900	0.8700
26	0.0258	0.9800	0.8800
27	0.0174	1.0000	0.8500
28	0.0218	1.0000	0.8600
29	0.0117	0.9900	0.8700
30	0.0153	0.9900	0.8600
31	0.0159	1.0000	0.8600
32	0.0129	0.9900	0.8500
33	0.0136	1.0000	0.8500
