epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9011	0.4500	0.3600
1	0.4370	0.6700	0.5400
2	0.3531	0.7000	0.5500
3	0.3445	0.6900	0.6300
4	0.3220	0.6800	0.5900
5	0.3050	0.7100	0.6600
6	0.3027	0.7200	0.6400
7	0.2553	0.8200	0.7600
8	0.2191	0.8600	0.7800
9	0.1928	0.8300	0.7900
10	0.1638	0.8500	0.8000
11	0.1344	0.9100	0.8100
12	0.1453	0.9500	0.8400
13	0.1165	0.9100	0.7900
14	0.0937	0.8900	0.8400
15	0.1019	0.9100	0.8100
16	0.0932	0.9500	0.8800
17	0.0944	0.9400	0.8600
18	0.0649	0.9500	0.8500
19	0.0766	0.9200	0.8100
20	0.0777	0.9500	0.8700
21	0.0599	0.9500	0.9100
22	0.0501	0.9400	0.8500
23	0.0398	0.9600	0.8700
24	0.0359	0.9800	0.8600
25	0.0368	0.9500	0.8000
26	0.0349	0.9900	0.8500
27	0.0284	0.9900	0.8300
28	0.0199	0.9600	0.8700
29	0.0164	1.0000	0.8600
30	0.0310	0.9900	0.8600
31	0.0210	0.9900	0.8800
32	0.0220	0.9900	0.8600
33	0.0126	1.0000	0.8700
