epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9336	0.4500	0.3600
1	0.4338	0.6400	0.5600
2	0.3550	0.6700	0.5400
3	0.3761	0.6800	0.6700
4	0.3185	0.7400	0.6600
5	0.2983	0.7800	0.6900
6	0.2574	0.8400	0.7400
7	0.1701	0.8800	0.8200
8	0.1676	0.9300	0.8500
9	0.1475	0.9500	0.8700
10	0.1103	0.8500	0.8300
11	0.1080	0.9300	0.8800
12	0.1060	0.9300	0.8700
13	0.1018	0.9200	0.8700
14	0.0864	0.9300	0.9000
15	0.0788	0.8900	0.8600
16	0.0590	0.9600	0.8900
17	0.0521	0.9500	0.8800
18	0.0541	0.9600	0.8600
19	0.0430	0.9500	0.8600
20	0.0457	0.9600	0.8700
21	0.0374	0.9700	0.8900
22	0.0339	0.9700	0.8700
23	0.0347	0.9800	0.8900
24	0.0273	0.9700	0.8500
25	0.0208	0.9700	0.8800
26	0.0334	0.9800	0.8800
