epoch	avg_loss	train_accuracy	dev_accuracy
0	0.9025	0.4500	0.3600
1	0.4743	0.6600	0.5200
2	0.3991	0.6900	0.5500
3	0.3500	0.6800	0.6400
4	0.3170	0.6600	0.6600
5	0.2696	0.6800	0.6500
6	0.2628	0.7500	0.7100
7	0.2259	0.8200	0.7300
8	0.1856	0.8400	0.7500
9	0.1609	0.8200	0.7800
10	0.1657	0.8600	0.7700
11	0.1386	0.9200	0.8000
12	0.1124	0.9200	0.8200
13	0.1007	0.9500	0.8200
14	0.1152	0.9000	0.8300
15	0.0979	0.9300	0.8200
16	0.0866	0.9700	0.8700
17	0.0659	0.9500	0.8300
18	0.0605	0.9600	0.8600
19	0.0587	0.9100	0.7800
20	0.0500	0.9600	0.8900
21	0.0562	0.9600	0.8700
22	0.0456	0.9700	0.8800
23	0.0368	0.9700	0.8700
24	0.0379	0.9600	0.8500
25	0.0300	0.9500	0.8300
26	0.0299	0.9800	0.8400
27	0.0218	1.0000	0.8600
28	0.0194	0.9800	0.8700
29	0.0142	1.0000	0.8800
30	0.0123	1.0000	0.8700
31	0.0138	1.0000	0.8800
32	0.0116	0.9900	0.8800
